Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0805_2012Metric",38.862000,-69.088000,180.000000,top
"C2",".1uF","C_0603_1608Metric",42.452000,-68.546000,0.000000,top
"C3",".1uF","C_0603_1608Metric",46.082000,-74.148000,180.000000,top
"C4","4.7uF","C_0603_1608Metric",49.746000,-70.792000,180.000000,top
"C5",".1uF","C_0603_1608Metric",48.920000,-69.146000,180.000000,top
"C6","1uF","C_0603_1608Metric",94.526000,-69.808000,0.000000,top
"C7","1uF","C_0603_1608Metric",98.428000,-69.660000,180.000000,top
"C8","10uF","C_0805_2012Metric",91.512000,-75.122000,0.000000,top
"C9",".1uF","C_0603_1608Metric",91.116000,-71.438000,0.000000,top
"C10",".1uF","C_0603_1608Metric",110.166000,-57.946000,0.000000,top
"C11",".1uF","C_0603_1608Metric",79.922000,-64.488000,0.000000,top
"C12",".1uF","C_0603_1608Metric",91.096000,-73.058000,0.000000,top
"C13",".1uF","C_0603_1608Metric",84.582000,-59.690000,0.000000,top
"D1","B5819W-TP","SOD3716X135N",43.254500,-75.912500,-90.000000,top
"D2","SP0503BAHTG","SOT-143",52.424000,-81.264000,0.000000,top
"J1","USB_B_Micro","USB_Micro-B_Amphenol_10118194_Horizontal",43.836000,-85.166000,0.000000,top
"J2","Power In","TerminalBlock_bornier-2_P5.08mm",81.660000,-80.028000,0.000000,top
"J3","U.FL-R-SMT-1(10)","HRS_U.FL-R-SMT-1(10)",116.798000,-57.072000,0.000000,top
"J4","External Switch In","Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical",77.776000,-59.914000,0.000000,top
"J5","Output","TerminalBlock_bornier-2_P5.08mm",94.554000,-60.494000,180.000000,top
"L1","WS2812B-2020","WS2812B-2020",104.185000,-57.891000,0.000000,top
"L2","WS2812B-2020","WS2812B-2020",36.495000,-83.245000,90.000000,top
"L3","WS2812B-2020","WS2812B-2020",63.386666,-58.704000,180.000000,top
"Q2","UMH3N","SOT65P230X110-6N",49.423000,-75.770000,-90.000000,top
"Q3","BSS138","SOT-23",93.048000,-66.682000,180.000000,top
"R1","10K","R_0402_1005Metric",46.678000,-76.660000,90.000000,top
"R2","1K","R_0402_1005Metric",51.120000,-64.714000,180.000000,top
"R3","1K","R_0402_1005Metric",51.142000,-63.020000,180.000000,top
"R4","22.1K","R_0402_1005Metric",52.140000,-74.388000,90.000000,top
"R5","47.5K","R_0402_1005Metric",52.082000,-77.952000,-90.000000,top
"R6","1K","R_0402_1005Metric",54.224000,-74.758000,-90.000000,top
"R7","10K","R_0402_1005Metric",97.274000,-66.478000,90.000000,top
"R8","10K","R_0402_1005Metric",89.178000,-65.972000,0.000000,top
"R9","400","R_0402_1005Metric",78.648000,-73.084000,90.000000,top
"R10","400","R_0402_1005Metric",92.832000,-77.086000,180.000000,top
"R14","470","R_0402_1005Metric",100.454000,-58.610000,180.000000,top
"R16","470","R_0402_1005Metric",36.496000,-85.742000,0.000000,top
"R17","470","R_0402_1005Metric",63.314000,-61.974000,0.000000,top
"S1","TL3342F160QG","SW_TL3342F160QG",36.244500,-75.112500,90.000000,top
"S2","TL3305CF260QG","TL3305CF260QG",70.441332,-58.779000,0.000000,top
"S3","TL3305CF260QG","TL3305CF260QG",55.647000,-58.779000,0.000000,top
"U1","ESP32-PICO-MINI-02","MODULE_ESP32-PICO-MINI-02",43.055000,-60.308000,90.000000,top
"U2","CP2102N-A02-GQFN28","QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm",54.974000,-69.098000,0.000000,top
"U3","LP5912-3.3DRV","WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias",96.272000,-72.152000,180.000000,top
"U4","TPS2115APW","TSSOP-8_4.4x3mm_P0.65mm",83.718000,-72.722000,0.000000,top
"U5","RFM95W-915S2","RFM95W-915S2",110.365000,-69.546000,90.000000,top
"U6","MAX6817EUT+T","SOT95P280X145-6N",80.505400,-66.881800,0.000000,top
"U7","D24V550F5_Step_Down_Regulator","VoltageREG_2851",68.530000,-74.210000,90.000000,top
"U8","MAX6816","SOT-143",84.390000,-63.272000,0.000000,top
